년도	월	약효분류코드	약효분류명	수량	사용금액
2018	4	391	간장질환용제	47,419	21,517
2018	4	392	해독제	4,474	5,258
2018	4	394	통풍치료제	12,371	1,712
2018	4	395	효소제제	77,814	13,344
2018	4	396	당뇨병용제	204,519	79,195
2018	4	398	종합대사성제제	0	0
2018	4	399	따로 분류되지 않는 대사성 의약품	55,393	47,316
2018	4	421	항악성종양제	9,559	124,229
2018	4	429	기타의 종양치료제	260	876
2018	4	431	방사성 의약품	1,029	7,336
2018	4	439	기타의 조직세포의 치료 및 진단	63	22,656
2018	4	490	기타의 조직세포의 기능용의약품	1,043	934
2018	4	611	주로 그람양성균에 작용하는 것	704	3,575
2018	4	612	주로 그람음성균에 작용하는 것	777	2,003
2018	4	613	주로 항산성균에 작용하는 것	1,163	275
2018	4	614	주로 그람양성균,리케치아,비루스에 작용하는 것	7,492	3,814
2018	4	615	주로 그람양성,음성균,리케치아,비루스에 작용하는 것	4,339	649
2018	4	616	주로 곰팡이,원충에 작용하는 것	15	1,764
2018	4	617	주로 악성종양에 작용하는 것	29	999
2018	4	618	주로 그람양성,음성균에 작용하는 것	217,037	81,077
2018	4	619	기타의 항생물질 제제(복합항생물질제제를 포함)	28,936	10,440
2018	4	621	설화제	3,692	549
2018	4	622	항결핵제	3,822	913
2018	4	623	치나제	16	0
2018	4	629	기타의 화학요법제	29,477	68,906
2018	4	631	백신류	0	12
2018	4	632	독소류 및 톡소이드류	2	135
2018	4	633	항독소 및 렙토스피라혈청류	0	49
2018	4	634	혈액제제류	5,576	19,063
2018	4	635	생물학적 시험용제제류	1	9
2018	4	636	생물학적 제제	0	15
2018	4	639	기타의 생물학적 제제	7	3,226
2018	4	641	항원충제	8,046	1,559
2018	4	642	구충제	11	6
2018	4	712	연고기제	0	0
2018	4	713	용해제	786	202
2018	4	721	X선조영제	3,573	32,522
2018	4	722	일반검사용 시약	12	81
2018	4	728	기능검사용 시약	13	162
2018	4	729	기타의 진단용약	130	81
2018	4	799	따로 분류되지 않고 치료를 주목적으로 하지 않는 의약품	0	5
2018	4	811	아편알카로이드계 제제	4,549	1,870
2018	4	821	합성마약	5,074	9,573
2018	4	999	해당사항없음	95	18
2018	5	111	전신마취제	1,164	3,186
2018	5	112	최면진정제	19,641	2,878
2018	5	113	항전간제	63,672	17,302
2018	5	114	해열·진통·소염제	417,048	67,653
2018	5	115	각성제,흥분제	2,050	1,668
2018	5	116	진훈제	2,564	92
2018	5	117	정신신경용제	200,834	40,105
2018	5	119	기타의 중추신경용약	125,948	75,630
2018	5	121	국소마취제	3,588	2,012
2018	5	122	골격근이완제	52,216	7,143
2018	5	123	자율신경제	18,345	2,557
2018	5	124	진경제	29,762	3,838
2018	5	129	기타의 말초신경용약	0	0
2018	5	131	안과용제	65,008	48,790
2018	5	132	이비과용제	1,132	4,720
2018	5	141	항히스타민제	224,514	13,096
2018	5	142	자격요법제(비특이성면역원제제를 포함)	12,842	30,894
2018	5	149	기타의 알레르기용약	43,470	17,792
2018	5	211	강심제	12,859	1,272
2018	5	212	부정맥용제	22,454	2,313
2018	5	213	이뇨제	29,054	1,538
2018	5	214	혈압강하제	276,888	147,422
2018	5	215	혈관보강제	4,456	881
2018	5	216	혈관수축제	643	82
2018	5	217	혈관확장제	60,197	10,816
2018	5	218	동맥경화용제	217,577	149,919
2018	5	219	기타의 순환계용약	183,298	52,967
2018	5	220	호흡기관용약	69	2,378
2018	5	221	호흡촉진제	92	245
2018	5	222	진해거담제	456,503	38,160
2018	5	223	함소흡입제	479,137	3,680
